ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,area_total,balcony,condition,floor,floors_total,building_year,area_code,location_lon,location_lat,address,contact_name,rooms,district,area_living,building_type,area_kitchen
1068931455,2026-06-03T12:32:46Z,"Аренда 4-комнатной квартиры, Мстиславца 3","Актуальна к просмотру и заселению с 28 июля
4-х комнатная квартира-студия с шикарным видом, которая находится на 8-м этаже по адресу: ул. Мстиславца,",1400.0,4013.52,True,https://re.kufar.by/vi/1068931455,82.1,2,,8.0,25.0,2018.0,24,27.654097,53.927654,"Петра Мстиславца ул, 3, Минск",ООО Центр недвижимости ГАЛАКТИКА,,325,73.9,4,
1071432901,2026-06-03T10:58:54Z,Сдам квартиру,"Сдается квартира в центре Минска.Три остановки до станции метро Немига.Напротив парк Победы,Стела.Квартира после свежего ремонта. Сдается на длительны",750.0,2150.1,False,https://re.kufar.by/vi/1071432901,41.5,1,5,4.0,4.0,,22,27.52933,53.918047,"Тарханова ул, 11, Минск",Ssss,2.0,,,,
1070496251,2026-06-03T09:10:46Z,"Аренда 1-к квартира 43 м, Минск, Лошица","Сдается 1-комнатная квартира на длительный срок от собственника. 
Из мебели: шкаф с антресолями, трюмо, электрическая плита, диван, набор кухонной меб",348.82,1000.0,False,https://re.kufar.by/vi/1070496251,43.0,3,1,11.0,19.0,2007.0,27,27.565397,53.841732,"Иосифа Гошкевича ул, 16, Минск",Юрий,2.0,145,18.0,1,10.0
1071423341,2026-06-03T09:10:42Z,квартира,"Сдам 1-комнатную квартиру с 16-го июля 2026г. Квартира в отличном состоянии, современная, чистая. Рядом находятся торговые центры, железнодорожный вок",575.55,1650.0,False,https://re.kufar.by/vi/1071423341,48.2,1,5,10.0,10.0,2018.0,28,27.548662,53.885262,"Могилёвская ул, 24, Минск",Юлия,,,15.9,4,9.4
1071420650,2026-06-03T08:52:03Z,Сдаю 3-х комнатную квартиру,"Сдается 3-х комнатная квартира на длительный срок!
Две остановки до метро Малиновка. Под окнами садик и 5 мин до школы. Поликлиника, аптека, магазины,",600.0,1720.08,False,https://re.kufar.by/vi/1071420650,68.0,1,5,7.0,9.0,1994.0,29,27.457088,53.847857,"Космонавтов ул, 37, Минск",Татьяна,3.0,150,45.0,1,8.7
1071407131,2026-06-03T07:53:53Z,Современная 2-комнатная квартира в аренду в ЖК ''Гранд Хаус'',"Сдается современная просторная 2-комнатная квартира 78 кв.м. в ЖК ""Гранд Хаус"" по адресу: пр-т Дзержинского,19.

В квартире есть вся необходимая мебел",900.0,2580.12,True,https://re.kufar.by/vi/1071407131,77.5,3,,16.0,18.0,2017.0,29,27.516098,53.886154,"Дзержинского пр, 19, Минск",ООО Центр недвижимости ГАЛАКТИКА,,55,68.0,4,
1071332058,2026-06-03T04:28:39Z,Иностранным гражданам**Foreign students**2-комн.50м²**м.Спортивная,Сдаёт собственник. Минимально–3 месяца. Максимально–1 год. Регистрация договора в РСЦ. Можно покомнатно. В одной комнате может проживать 1 человек.  И,550.0,1576.74,False,https://re.kufar.by/vi/1071332058,50.0,1,1,5.0,5.0,1973.0,30,27.477533,53.922427,"Ольшевского ул, 75, Минск",Михаил,1.0,205,34.7,1,6.2
1071330814,2026-06-03T04:01:21Z,Сдаётся 3-хкомнатная квартира с сентября,"Сдаётся евротрешка в ЖК Минск -Мир. 
Первое заселение.
Квартира светлая, теплая. Имеется две изолированные спальни и кухня- гостиная. 
Окна выходят на",700.0,2006.76,False,https://re.kufar.by/vi/1071330814,54.0,3,5,15.0,25.0,2022.0,28,27.55118238137212,53.86120552757319,"Жореса Алфёрова ул, 11, Минск",Ольга,5.0,170,,4,
1071319419,2026-06-02T18:10:53Z,Сдается 1-ая квартира,"Сдается уютная 1-ая квартира. В эко зоне. Рядом парк валунов. До метро 15 минут пешком и можно на транспорте добраться. Есть стиральная машина, холоди",500.0,1433.4,False,https://re.kufar.by/vi/1071319419,46.0,1,5,10.0,12.0,2014.0,24,27.688310825937158,53.933667198501176,"Шугаева ул, 25, Минск",Юрий,,280,16.7,,11.6
1071318657,2026-06-02T18:02:01Z,Ищем квартиру,"МЫ САМИ ИЩЕМ КВАРТИРУ!!!
МЫ НЕ СДАЁМ!!!

Три студентки снимут квартиру на учебный год 2026/2027, с конца август и по июль.
Рассматриваем квартиры с 1,",383.7,1100.0,False,https://re.kufar.by/vi/1071318657,16.0,,,1.0,1.0,2026.0,29,27.485406787904083,53.85692569132988,"Чюрлёниса ул, 7, Минск",Полина,2.0,,,,
1071315075,2026-06-02T17:19:45Z,Сдается двухкомнатная квартира,Без посредников на длительный срок,523.23,1500.0,False,https://re.kufar.by/vi/1071315075,61.0,3,5,1.0,9.0,,25,27.63348985156537,53.908590512279645,"Филимонова ул, 8, Минск",Людмила,,240,36.0,1,10.0
1071314493,2026-06-02T17:12:30Z,Сдать квартиру,Сдается двухкомнатная квартира на длительный срок.,480.0,1376.06,False,https://re.kufar.by/vi/1071314493,68.0,1,1,7.0,,,30,27.420769,53.889555,"Скрипникова ул, 7, Минск",марфина,3.0,,35.0,1,10.0
1071302450,2026-06-02T15:59:35Z,Сдача квартиры,"Сдам квартиру на длительный срок. Ремонт косметический . Без мебели.  В хорошем районе.  .
Всю информацию узнавать по телефону.",348.82,1000.0,False,https://re.kufar.by/vi/1071302450,47.2,1,1,4.0,5.0,,24,27.634666,53.946705,"Калиновского ул, 71, Минск",.Алиса,,100,31.7,1,6.2
1071272514,2026-06-02T11:16:20Z,Квартиры,"Сдается уютная, современная квартира рядом с метро.Евродвушка в ЖК ""Vogue"" г.Минск ул. Макаенка 12А. Квартира укомплектована всей необходимой техникой",540.67,1550.0,False,https://re.kufar.by/vi/1071272514,45.0,3,5,4.0,19.0,2018.0,24,27.624824646700766,53.9217150872239,"Макаёнка ул, 12А, Минск",Вячеслав,2.0,,35.0,,5.0
1071257455,2026-06-02T09:47:39Z,сдаю 2-х комнатную квартиру,"На длительный срок сдается в аренду уютная двухкомнатная квартира с отличным ремонтом, расположенная в живописном и зеленом районе в одноподъездном до",700.0,2006.76,False,https://re.kufar.by/vi/1071257455,90.0,3,5,4.0,9.0,2018.0,23,27.610789,53.945279,"Логойский тракт, 17А, Минск",Елена,4.0,,70.0,2,11.0
1071248547,2026-06-02T08:21:53Z,Сдам квартиру с 17 июля,"Сдается однокомнатная квартира с 17 июля 2026 года со всеми удобствами (мебель,телевизора- 2, (на кухни и в зале), стиральная машина, микроволновка),",450.0,1290.06,False,https://re.kufar.by/vi/1071248547,43.0,2,1,4.0,5.0,,28,27.502165,53.848579,"Казинца ул, 78, Минск",Mancunians,2.0,135,,,
